HOTEL NAME,STATE,PHONE,FAX,EMAIL ID,WEBSITE,TYPE,Rooms,ADDRESS
The Oberoi Cecil,HIMACHAL PRADESH,0177-2804848,0177-2811024,reservations@oberoigroup.com,www.oberoihotels.com,Heritage Grand,75,"""Ambedkar ChowkChaura Maidan, Shimla - 171004, HIMACHAL PRADESH"""
The Lalit Grand Palace,JAMMU AND KASHMIR,1942501001,1942501003,srinagar@thelalit.com,NA,Heritage Grand,112,"""Gupkar Road, Srinagar, JAMMU AND KASHMIR"""
Hotel Fateh Prakash Palace,RAJASTHAN,0294-2528016-9,0294-2528006,mgrfpp@udaipur.hrhindia.com,www.hrhindia.com,Heritage Grand,30,"""The City Palace Complex, Udaipur - 313001, RAJASTHAN"""
Shiv Niwas Palace,RAJASTHAN,2942528016,2942528006,maltidutta50@yahoo.com,NA,Heritage Grand,36,"""The City Palace ComplexUdaipur, Udaipur, RAJASTHAN"""
Savoy Hotel ,TAMIL NADU,423244142,423443318,savoy.ooty@tajhotels.com,NA,Heritage Grand,40,"""77, Sylks Road, Ootacamund, TAMIL NADU"""
Raheem Residency,KERALA,0477-2230767,0477-2239767,contact@raheemresidency.com,www.raheemresidency.com,Heritage Classic,10,"""20/1100Beach Road, Alleppey West - 688 012, KERALA"""
Noor Us Sabah Palace,MADHYA PRADESH,0755-4223333/4239996,0755-4227777,contact@noorussabahpalace.com/reservations@nusp.in,www.noorussabahpalace.com,Heritage Classic,57,"""V.I.P.RoadKoh-E-Fiza, Bhopal - 462001, MADHYA PRADESH"""
The Panjim Inn ,GOA,4564277301,4565273111,visalam@cghearth.com,www.cghearth.com,Heritage Basic,15,"""31-ST JANUARY ROAD, FONTAINHAS, PANAJI, Panaji , GOA"""
Balaram Palace Resort,GUJARAT,"07926575286, 2657638",7926578412,balarampalaceresort@gmail.com,NA,Heritage Basic,22,"""Chitrassani Village,off Abu Palanpur Highway No.14 Banaskantha, BANASKANTHA, GUJARAT"""
Nilambag Palace Hotel,GUJARAT,"02782424241, 2429323",2782428072,reservation@nilambagpalace.com,NA,Heritage Basic,28,"""Bhavnagar, Bhavnagar, GUJARAT"""
The Fort Ramgarh,HARYANA,"01733253072-75, 9814",NA,thefortramgarh@gmail.com,NA,Heritage Basic,12,"""Ramgarh, Panchkula On NH - 73 Delhi Shimla Highway, Near Chandigarh, Panchkula Distt., HARYANA"""
The Judges Court,HIMACHAL PRADESH,01970-245035/245335,01970-245823,eries@vsnl.com/info@judgescourt.com,www.judgescourt.com,Heritage Basic,10,"""Heritage VillageParagpur, Distt. - Kangra - 177107, HIMACHAL PRADESH"""
