opearator,operatorcode,flightNo,source,depttime,dest,arrivaltime,days,stop
AirAsia, IAD,I5  752,VIZAG,845,DELHI,1105,1234567,0
AirAsia, IAD,I5  1457,VIZAG,2040,BANGALORE,2215,2,0
AirAsia, IAD,I5  1457,VIZAG,1835,BANGALORE,2010,134567,0
AirAsia, IAD,I5  1451,VIZAG,800,BANGALORE,930,1234567,0
AirAsia, IAD,I5  1426,PUNE,1725,JAIPUR,1910,6,0
AirAsia, IAD,I5  1426,PUNE,1510,JAIPUR,1700,123457,0
AirAsia, IAD,I5  1427,PUNE,2155,BANGALORE,2320,6,0
AirAsia, IAD,I5  1427,PUNE,1940,BANGALORE,2105,123457,0
AirAsia, IAD,I5  1427,JAIPUR,1940,PUNE,2130,6,0
AirAsia, IAD,I5  1427,JAIPUR,1725,PUNE,1915,123457,0
AirAsia, IAD,I5  1427,JAIPUR,1940,BANGALORE,2320,6,1
AirAsia, IAD,I5  1427,JAIPUR,1725,BANGALORE,2105,123457,1
AirAsia, IAD,I5  1721,JAIPUR,855,BANGALORE,1130,1234567,0
AirAsia, IAD,I5  784,IMPHAL,1125,GUWAHATI,1220,1234567,0
AirAsia, IAD,I5  784,IMPHAL,1125,DELHI,1515,1234567,1
AirAsia, IAD,I5  783,GUWAHATI,1005,IMPHAL,1100,1234567,0
AirAsia, IAD,I5  786,GUWAHATI,2020,DELHI,2315,1234567,0
AirAsia, IAD,I5  784,GUWAHATI,1245,DELHI,1515,1234567,0
AirAsia, IAD,I5  774,GOA,2130,DELHI,5,1234567,0
AirAsia, IAD,I5  772,GOA,1630,DELHI,1900,1234567,0
AirAsia, IAD,I5  776,GOA,1435,DELHI,1705,1234567,0
AirAsia, IAD,I5  1321,GOA,1710,BANGALORE,1820,2,0
AirAsia, IAD,I5  1321,GOA,1405,BANGALORE,1520,134567,0
AirAsia, IAD,I5  1325,GOA,800,BANGALORE,910,1234567,0
AirAsia, IAD,I5  751,DELHI,610,VIZAG,820,1234567,0
AirAsia, IAD,I5  783,DELHI,720,IMPHAL,1100,1234567,1
AirAsia, IAD,I5  785,DELHI,1735,GUWAHATI,1955,1234567,0
AirAsia, IAD,I5  783,DELHI,720,GUWAHATI,940,1234567,0
AirAsia, IAD,I5  773,DELHI,1840,GOA,2105,1234567,0
AirAsia, IAD,I5  771,DELHI,1245,GOA,1510,1234567,0
AirAsia, IAD,I5  775,DELHI,1140,GOA,1410,1234567,0
AirAsia, IAD,I5  177,DELHI,2010,BANGALORE,2250,1234567,0
AirAsia, IAD,I5  721,DELHI,1935,BANGALORE,2220,1234567,0
AirAsia, IAD,I5  725,DELHI,605,BANGALORE,845,1234567,0
AirAsia, IAD,I5  1130,COCHIN,2300,BANGALORE,2355,2,0
AirAsia, IAD,I5  1130,COCHIN,2205,BANGALORE,2310,134567,0
AirAsia, IAD,I5  1452,COCHIN,1135,BANGALORE,1240,134567,0
AirAsia, IAD,I5  1452,COCHIN,1120,BANGALORE,1220,2,0
AirAsia, IAD,I5  1825,CHANDIGARH,1300,BANGALORE,1605,1234567,0
AirAsia, IAD,I5  1456,BANGALORE,1845,VIZAG,2015,2,0
AirAsia, IAD,I5  1456,BANGALORE,1635,VIZAG,1810,134567,0
AirAsia, IAD,I5  1450,BANGALORE,610,VIZAG,735,1234567,0
AirAsia, IAD,I5  1426,BANGALORE,1530,PUNE,1700,6,0
AirAsia, IAD,I5  1426,BANGALORE,1315,PUNE,1445,13457,0
AirAsia, IAD,I5  1426,BANGALORE,1220,PUNE,1355,2,0
AirAsia, IAD,I5  1426,BANGALORE,1530,JAIPUR,1910,6,1
AirAsia, IAD,I5  1720,BANGALORE,600,JAIPUR,830,1234567,0
AirAsia, IAD,I5  1320,BANGALORE,1530,GOA,1645,2,0
AirAsia, IAD,I5  1320,BANGALORE,1230,GOA,1340,134567,0
AirAsia, IAD,I5  1324,BANGALORE,620,GOA,735,1234567,0
AirAsia, IAD,I5  722,BANGALORE,2250,DELHI,130,1234567,0
AirAsia, IAD,I5  176,BANGALORE,1700,DELHI,1935,1234567,0
AirAsia, IAD,I5  726,BANGALORE,910,DELHI,1200,1234567,0
AirAsia, IAD,I5  1129,BANGALORE,2130,COCHIN,2235,2,0
AirAsia, IAD,I5  1129,BANGALORE,2035,COCHIN,2140,134567,0
AirAsia, IAD,I5  1451,BANGALORE,1005,COCHIN,1110,134567,0
AirAsia, IAD,I5  1451,BANGALORE,955,COCHIN,1055,2,0
AirAsia, IAD,I5  1824,BANGALORE,940,CHANDIGARH,1235,1234567,0
AirCosta, LBR,LB671,VIZAG,1310,TIRUPATHI,1535,1234567,1
